Product Name,Price
"Laptop Dell Inspiron 3505 gris 15.6"", AMD Ryzen 5 3450U  16GB de RAM 1TB HDD 256GB SSD, AMD Radeon RX Vega 8 60 Hz 1366x768px Windows 10 Home",2.430.000
"Laptop Dell Inspiron 3505 gris 15.6"", AMD Ryzen 5 3450U  16GB de RAM 256GB SSD, AMD Radeon RX Vega 8 60 Hz 1366x768px Windows 10 Home",2.285.000
"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",4.590.000
"Laptop HP 255 G7 gris 15.6"", AMD Athlon 3020E  8GB de RAM 1TB HDD, AMD Radeon RX Vega 3 1366x768px FreeDOS",1.279.900
"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Plata",5.409.412
"Laptop Dell Inspiron 3505 negra 15.6"", AMD Ryzen 5 3450U  12GB de RAM 1TB HDD 256GB SSD, AMD Radeon RX Vega 8 60 Hz Windows 10 Home",2.420.000
Portátil Dell 3505 Ryzen 5 3450u 16gb Ssd 256+1tb 15.6 Win10,2.992.900
Portatil Hp 245 G7  Amd A4 9125 14  4gb 1tb Freedos,919.000
Apple Macbook Pro M1 Pro 14 512gb 16gb Ram Nuevo Sellado,9.489.900
Portátil Asus 14 Onceava Core I3-1115g4 12gb 256 Gb Ssd Fhd ,2.099.900
"Laptop HP 245 G7 negra 14"", AMD 3020E  8GB de RAM 1TB HDD, AMD Radeon RX Vega 3 1366x768px Windows 10 Home",1.249.900
"Laptop Dell Inspiron 3505 gris 15.6"", AMD Ryzen 5 3450U  8GB de RAM 1TB HDD 256GB SSD, AMD Radeon RX Vega 8 60 Hz 1366x768px Windows 10 Home",2.263.858
"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Oro",4.585.999
"Laptop HP 245 G7 negra 14"", AMD Ryzen 5 3500U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 1366x768px Windows 10 Pro",3.699.900
"Apple MacBook Pro (13 pulgadas, 2020, Chip M1, 512 GB de SSD, 8 GB de RAM) - Gris espacial",6.800.000
"Laptop Dell Inspiron 3505 plata 15.6"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 60 Hz 1366x768px Windows 11 Home",2.156.500
"MacBook Air M1 2020 plata 13.3"", Apple M1  8GB de RAM 256GB SSD, Apple GPU 2560x1600px macOS Big Sur",5.409.412
"Laptop HP 240 G7 plateado ceniza oscuro 14"", Intel Celeron N4000  4GB de RAM 500GB HDD, Intel UHD Graphics 600 60 Hz 1366x768px Windows 10 Home",1.120.000
Lenovo Thinkpad E14 Gen1-negro- Intel I7-16gb Ddr4-512gb Ssd,6.088.000
"Laptop Dell Vostro 3405 negra 14"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 60 Hz 1366x768px Linux Ubuntu",1.938.365
"Apple MacBook Pro (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",5.779.999
"Laptop HP 245 G7 negra 14"", AMD Athlon 3020E  8GB de RAM 1TB HDD, AMD Radeon RX Vega 3 1366x768px FreeDOS",990.181
"Laptop Dell Inspiron 3501 plata 15.6"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 60 Hz 1366x768px Windows 10 Home",1.899.900
